ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
914799,65+,male,majority,30y+,high school,upper class,0.738787652,1,after 2015,0,0,10238,13000,sedan,7,2,4,0
600491,26-39,female,majority,10-19y,high school,working class,0.426398087,0,before 2015,0,1,10238,14000,sedan,0,0,0,0
213761,16-25,female,majority,0-9y,high school,working class,0.503454287,1,after 2015,0,0,10238,15000,sedan,0,0,0,0
655686,26-39,female,majority,10-19y,high school,working class,0.489145819,1,before 2015,1,1,10238,10000,sedan,0,0,0,0
528944,40-64,male,majority,20-29y,university,upper class,0.715407037,1,before 2015,1,1,10238,13000,sedan,4,0,2,0
927765,26-39,female,majority,10-19y,none,poverty,0.477748882,1,before 2015,0,0,10238,16000,sedan,0,0,0,0
702846,26-39,male,majority,0-9y,university,middle class,0.617759119,1,before 2015,0,0,10238,,sedan,0,0,0,1
202838,40-64,female,minority,20-29y,high school,upper class,0.550012456,1,after 2015,1,1,10238,,sedan,1,0,0,0
472762,40-64,female,majority,20-29y,none,poverty,,0,before 2015,1,1,10238,7000,sedan,0,0,2,0
75361,65+,male,majority,30y+,high school,upper class,0.658710111,1,before 2015,1,1,10238,10000,sedan,4,0,1,0
977617,40-64,female,majority,20-29y,university,middle class,0.700559219,1,after 2015,1,1,21217,12000,sedan,2,0,0,1
331884,65+,female,majority,20-29y,high school,upper class,0.634387169,0,before 2015,1,1,32765,7000,sedan,0,0,1,1
715735,40-64,male,majority,10-19y,high school,working class,0.195816512,0,before 2015,0,1,32765,11000,sedan,0,0,2,1
125970,65+,male,majority,30y+,university,upper class,0.793694017,1,before 2015,1,1,10238,10000,sedan,4,0,5,0
776573,65+,male,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,11000,sedan,1,0,2,0
177683,26-39,male,majority,10-19y,university,middle class,0.451003533,1,before 2015,0,1,10238,,sedan,0,1,1,0
995108,65+,female,minority,30y+,high school,middle class,0.676270833,0,before 2015,1,1,10238,8000,sedan,2,0,4,0
95244,26-39,male,majority,10-19y,high school,working class,0.636109216,0,before 2015,1,0,10238,15000,sedan,1,0,0,1
763955,16-25,female,majority,0-9y,none,poverty,,0,after 2015,0,1,10238,11000,sedan,0,0,0,0
531981,65+,female,majority,30y+,university,upper class,0.706051204,1,before 2015,0,1,10238,13000,sedan,1,2,2,0
496724,26-39,male,majority,10-19y,university,upper class,0.642966482,1,before 2015,0,0,10238,14000,sedan,0,0,0,0
